Date,Monthly Return
2000-01,-0.176761222
2000-02,-0.118618841
2000-03,0.151618539
2000-04,-0.195266123
2000-05,0.132352461
2000-06,-0.123376726
2000-07,-0.287037066
2000-08,0.148701561
2000-09,-0.054832934
2000-10,0.246411239
2000-11,-0.063339918
2000-12,0.147541008
2001-01,0.273142319
2001-02,0.085054659
2001-03,-0.140641265
2001-04,0.034416106
2001-05,0.042345168
2001-06,-0.051338682
2001-07,-0.091764943
2001-08,-0.059326797
2001-09,-0.223354296
2001-10,0.134397293
2001-11,0.156611385
2001-12,0.105405617
2002-01,0.017603539
2002-02,0.006967912
2002-03,-0.025292146
2002-04,-0.027417597
2002-05,0.042285912
2002-06,-0.041294866
2002-07,-0.052644484
2002-08,-0.045466777
2002-09,-0.179944542
2002-10,0.042798928
2002-11,0.064494765
2002-12,-0.119950501
2003-01,-0.095270731
2003-02,-0.019985539
2003-03,0.098824168
2003-04,0.092790671
2003-05,0.061397369
2003-06,0.133846269
2003-07,0.089503548
2003-08,0.092227564
2003-09,-0.041190303
2003-10,0.138214563
2003-11,0.032386762
2003-12,-0.039926832
2004-01,0.010112706
2004-02,0.102990806
2004-03,0.03207937
2004-04,-0.091226283
2004-05,-0.02632662
2004-06,0.029134511
2004-07,-0.021390147
2004-08,-0.094324283
2004-09,0.046774301
2004-10,0.113843369
2004-11,0.086224155
2004-12,0.054561769
2005-01,-0.014746173
2005-02,-0.006161936
2005-03,0.127369405
2005-04,-0.094529217
2005-05,0.173043245
2005-06,0.086434866
2005-07,0.03731727
2005-08,-0.090813902
2005-09,-0.027146259
2005-10,-0.082249289
2005-11,0.049861906
2005-12,0.029489113
2006-01,0.00823232
2006-02,0.066186116
2006-03,0.027590225
2006-04,0.070160607
2006-05,-0.064482476
2006-06,0.00507944
2006-07,-0.037114306
2006-08,0.081742579
2006-09,0.137704363
2006-10,0.019382401
2006-11,-0.041448644
2006-12,-0.0940839
2007-01,0.091797451
2007-02,0.076644223
2007-03,0.008507065
2007-04,-0.022306268
2007-05,-0.09084718
2007-06,-0.00375648
2007-07,-0.090222475
2007-08,-0.120599012
2007-09,0.018915548
2007-10,-0.004600903
2007-11,-0.074305393
2007-12,-0.127487333
2008-01,0.072438167
2008-02,-0.106444363
2008-03,-0.065640009
2008-04,0.102649294
2008-05,-0.064056926
2008-06,-0.17955181
2008-07,-0.025506991
2008-08,0.106858483
2008-09,-0.136407131
2008-10,-0.312282395
2008-11,-0.396256814
2008-12,0.394877966
2009-01,-0.122056907
2009-02,-0.120670527
2009-03,0.130877023
2009-04,0.547591713
2009-05,-0.146198916
2009-06,0.006849895
2009-07,0.187524233
2009-08,0.115744003
2009-09,0.178478822
2009-10,-0.036397099
2009-11,-0.071712971
2009-12,0.027590541
2010-01,-0.046556175
2010-02,0.202134278
2010-03,0.136814617
2010-04,0.068232522
2010-05,-0.042672426
2010-06,-0.194056607
2010-07,0.044347668
2010-08,0.040750822
2010-09,0.18907717
2010-10,0.028034625
2010-11,0.084917835
2010-12,-0.014797565
2011-01,-0.083181953
2011-02,0.032397301
2011-03,0.015062955
2011-04,-0.012334389
2011-05,0.207862346
2011-06,0.012465744
2011-07,-0.009014909
2011-08,-0.101142496
2011-09,0.014257746
2011-10,0.164487363
2011-11,0.058958281
2011-12,-0.004639554
2012-01,0.050162535
2012-02,0.127040945
2012-03,0.046352366
2012-04,0.037712697
2012-05,-0.072403597
2012-06,-0.097240559
2012-07,0.049059724
2012-08,0.124721099
2012-09,-0.066732883
2012-10,0.017141926
2012-11,0.016548665
2012-12,0.008268637
2013-01,0.017795808
2013-02,0.040242938
2013-03,0.018004912
2013-04,0.071069714
2013-05,0.083856527
2013-06,-0.007033837
2013-07,0.012295241
2013-08,-0.080885326
2013-09,-0.026108487
2013-10,0.071643925
2013-11,0.155063871
2013-12,0.002628777
2014-01,0.001087861
2014-02,0.087593813
2014-03,0.024715197
2014-04,-0.027245441
2014-05,0.042835048
2014-06,-0.031224246
2014-07,0.001359245
2014-08,0.077868364
2014-09,-0.065981897
2014-10,-0.000968262
2014-11,0.122621923
2014-12,0.012941189
2015-01,-0.023397788
2015-02,-0.002504879
2015-03,0.018675463
2015-04,0.000634213
2015-05,0.035896629
2015-06,0.007767017
2015-07,0.028942142
2015-08,-0.151317795
2015-09,-0.124381391
2015-10,-0.000462426
2015-11,-0.233424837
2015-12,-0.104913332
2016-01,0.166315928
2016-02,0.069289921
2016-03,0.02036579
2016-04,-0.09469036
2016-05,-0.161151837
2016-06,0.012044463
2016-07,0.078314533
2016-08,0.009768229
2016-09,0.024046376
2016-10,-0.004559804
2016-11,0.156481144
2016-12,-0.151421848
2017-01,-0.167311352
2017-02,0.124576983
2017-03,-0.107766701
2017-04,-0.002283905
2017-05,-0.195756394
2017-06,-0.011063739
2017-07,0.039273522
2017-08,-0.125473681
2017-09,0.050553822
2017-10,-0.125646293
2017-11,0.26865654
2017-12,0.058403419
2018-01,0.04547014
2018-02,0.133333401
2018-03,0.011220614
2018-04,0.058133956
2018-05,0.123591911
2018-06,0.072185588
2018-07,0.072008797
2018-08,-0.08004026
2018-09,-0.049794768
2018-10,-0.002305704
2018-11,-0.002041277
2018-12,-0.129748703
2019-01,-0.106373272
2019-02,-0.057414189
2019-03,-0.030657563
2019-04,-0.004728957
2019-05,-0.126168001
2019-06,0.043266418
2019-07,0.078180263
2019-08,-0.350637839
2019-09,0.052845251
2019-10,-0.003335147
2019-11,0.010554044
2019-12,0.109660628
2020-01,-0.038618116
2020-02,-0.170532667
2020-03,-0.6288739
2020-04,0.242992958
2020-05,0.085324129
2020-06,0.081761151
2020-07,-0.11918615
2020-08,0.150164797
2020-09,-0.182209429
2020-10,0.089474035
2020-11,0.644122295
2020-12,0.101860972
2021-01,0.336888873
2021-02,0.011302974
2021-03,0.064431435
2021-04,0.024088948
2021-05,0.102533317
2021-06,0.037198917
2021-07,-0.103375191
2021-08,0.317058239
2021-09,0.009379435
2021-10,0.179628876
2021-11,0.076690481
2021-12,-0.08140345
2022-01,-0.016240016
2022-02,0.012500141
2022-03,-0.060185271
2022-04,-0.001123694
2022-05,-0.021514274
2022-06,-0.225369988
2022-07,-0.029344843
2022-08,-0.018696752
2022-09,-0.09526556
2022-10,0.342954824
2022-11,0.127098409
2022-12,-0.12127671
2023-01,0.152785517
2023-02,-0.134151525
2023-03,-0.1451612
2023-04,-0.057412591
